Vehicle_ID,Visit_Number,Purchase_Date,Service_Date,Vehicle_Model,Manufacturing_Date,Vehicle_Age_at_Service,Battery_Age_at_Service,Battery_Health_at_Service,Battery_Replaced,Issue_Family,Exact_Issue,Parts_Required,Parts_Available,Part_Ordered,Expected_Part_ETA_Days,Active_Jobs_On_Arrival,Workshop_Capacity,Workshop_Utilization,Day_Type,Technician_ID,Technician_Experience_Years,Repair_Complexity,Base_Labor_Hours,Technician_Efficiency,Effective_Labor_Hours,Workshop_Wait_Hours,Operational_Time_Hours,Operational_Time_Days,Extra_Operational_Delay_Days,Turnaround_Time_Days,Parts_Cost,Labor_Cost,Warranty_Status,Warranty_Covered,Misc_Cost,Repair_Cost,Expected_TAT_Days,Is_Delayed,Actual_Part_Wait_Days,Supplier_Delay_Days
EV00002,1,2022-08-01,2023-03-26,TVS iQube,2022-06-16,0.77,0.65,95.68,False,Motor,Motor Performance Issue,False,False,False,0,23,20,1.15,Weekend,TECH_06,4,3,6.24,0.91,5.68,3.74,9.42,1.18,1.0,2.18,0,3120,True,True,100,3220,2.5,False,0,0
EV00002,2,2022-08-01,2023-12-15,TVS iQube,2022-06-16,1.5,1.37,90.86,False,Battery,Charging Failure,True,False,True,8,8,20,0.4,Weekday,TECH_05,3,3,4.6,0.94,4.32,0.42,4.74,0.59,0.0,9.59,3013,2300,True,True,0,5313,10.5,False,9,1
EV00002,3,2022-08-01,2024-04-18,TVS iQube,2022-06-16,1.84,1.71,88.59,False,General Service,Cleaning and Lubrication,False,False,False,0,9,20,0.45,Weekday,TECH_03,2,1,0.77,0.97,0.75,0.21,0.96,0.12,0.0,0.12,0,385,True,False,0,385,1.0,False,0,0
EV00002,4,2022-08-01,2024-11-05,TVS iQube,2022-06-16,2.39,2.26,84.92,False,General Service,Periodic Inspection,False,False,False,0,20,20,1.0,Weekday,TECH_07,5,1,0.71,0.88,0.62,2.56,3.18,0.4,0.0,0.4,0,355,True,False,500,855,1.0,False,0,0
EV00002,5,2022-08-01,2025-07-05,TVS iQube,2022-06-16,3.05,2.93,80.51,False,General Service,Cleaning and Lubrication,False,False,False,0,18,20,0.9,Weekend,TECH_07,5,1,1.28,0.88,1.13,1.99,3.12,0.39,1.5,1.89,0,640,False,False,100,740,1.0,True,0,0
EV00003,1,2025-06-02,2025-12-13,Bajaj Chetak,2025-03-30,0.71,0.53,96.82,True,Motor,Motor Noise,True,True,False,0,22,20,1.1,Weekend,TECH_05,3,2,2.9,0.94,2.73,5.11,7.84,0.98,2.0,2.98,1951,1450,True,True,0,3401,1.5,True,0,0
EV00005,1,2026-03-21,2026-09-08,Ather Rizta,2026-01-11,0.66,0.47,96.42,False,Suspension,Suspension Bush Wear,True,True,False,0,17,20,0.85,Weekday,TECH_04,3,2,2.18,0.94,2.05,1.57,3.62,0.45,0.5,0.95,1261,1090,True,True,100,2451,1.5,False,0,0
EV00006,1,2025-05-19,2025-11-18,Ather Rizta,2025-02-18,0.75,0.5,97.4,False,Tyre,Tyre Wear,True,True,False,0,5,20,0.25,Weekday,TECH_04,3,2,1.78,0.94,1.67,0.46,2.13,0.27,0.0,0.27,2377,890,True,False,500,3767,1.5,False,0,0
EV00006,2,2025-05-19,2026-12-27,Ather Rizta,2025-02-18,1.85,1.61,91.66,False,Electrical,Lighting Issue,True,False,True,4,12,20,0.6,Weekend,TECH_07,5,1,1.35,0.88,1.19,0.39,1.58,0.2,0.25,4.45,636,675,True,True,0,1311,5.0,False,4,0
EV00007,1,2022-04-26,2022-09-03,TVS iQube,2022-03-02,0.51,0.36,98.56,False,Electrical,Wiring Issue,True,True,False,0,16,20,0.8,Weekend,TECH_03,2,2,2.27,0.97,2.2,1.16,3.36,0.42,0.0,0.42,596,1135,True,True,100,1831,1.5,False,0,0
EV00007,2,2022-04-26,2023-03-07,TVS iQube,2022-03-02,1.01,0.86,96.51,False,General Service,Periodic Inspection,False,False,False,0,9,20,0.45,Weekday,TECH_07,5,1,0.69,0.88,0.61,0.16,0.77,0.1,0.0,0.1,0,345,True,False,0,345,1.0,False,0,0
EV00007,3,2022-04-26,2023-10-24,TVS iQube,2022-03-02,1.65,1.49,93.96,False,Suspension,Front Fork Issue,False,False,False,0,15,20,0.75,Weekday,TECH_07,5,3,4.01,0.88,3.53,1.34,4.87,0.61,0.25,0.86,0,2005,True,True,100,2105,2.5,False,0,0
EV00007,4,2022-04-26,2024-08-09,TVS iQube,2022-03-02,2.44,2.29,90.75,False,Tyre,Tyre Wear,True,True,False,0,16,20,0.8,Weekday,TECH_05,3,2,3.34,0.94,3.14,1.27,4.41,0.55,0.0,0.55,1260,1670,True,False,200,3130,1.5,False,0,0
EV00009,1,2024-06-26,2024-11-30,TVS iQube,2024-05-22,0.53,0.43,97.5,False,General Service,Periodic Inspection,False,False,False,0,12,20,0.6,Weekend,TECH_06,4,1,0.63,0.91,0.57,0.23,0.8,0.1,0.0,0.1,0,315,True,False,100,415,1.0,False,0,0
EV00009,2,2024-06-26,2025-05-02,TVS iQube,2024-05-22,0.94,0.85,95.06,False,Brake,Brake Pad Wear,True,True,False,0,11,20,0.55,Weekday,TECH_08,6,2,2.22,0.88,1.95,0.1,2.05,0.26,0.0,0.26,1096,1110,True,False,500,2706,1.5,False,0,0
EV00010,1,2026-09-04,2026-12-03,Ather Rizta,2026-07-26,0.36,0.25,98.8,False,Tyre,Tyre Wear,False,False,False,0,11,20,0.55,Weekday,TECH_08,6,2,2.76,0.88,2.43,0.09,2.52,0.32,0.25,0.57,0,1380,True,False,100,1480,1.5,False,0,0
EV00012,1,2024-02-15,2024-09-25,Ather 450X,2024-01-05,0.72,0.61,96.54,False,Brake,Brake Pad Wear,True,True,False,0,8,20,0.4,Weekday,TECH_05,3,2,2.32,0.94,2.18,0.24,2.42,0.3,0.5,0.8,700,1160,True,False,500,2360,1.5,False,0,0
EV00012,2,2024-02-15,2025-10-21,Ather 450X,2024-01-05,1.79,1.68,90.47,False,Electrical,Sensor Failure,False,False,False,0,6,20,0.3,Weekday,TECH_06,4,3,5.17,0.91,4.7,0.39,5.09,0.64,0.0,0.64,0,2585,True,True,0,2585,2.5,False,0,0
EV00012,3,2024-02-15,2026-11-02,Ather 450X,2024-01-05,2.83,2.71,84.62,False,Battery,Battery Degradation,True,True,False,0,6,20,0.3,Weekday,TECH_06,4,3,6.31,0.91,5.74,0.36,6.1,0.76,0.0,0.76,10075,3155,True,True,0,13230,2.5,False,0,0
EV00013,1,2025-10-02,2026-04-25,Hero Vida V1,2025-07-30,0.74,0.56,97.97,False,Electrical,Wiring Issue,True,True,False,0,15,20,0.75,Weekend,TECH_06,4,2,3.5,0.91,3.18,0.99,4.17,0.52,1.0,1.52,703,1750,True,True,0,2453,1.5,True,0,0
EV00013,2,2025-10-02,2026-11-06,Hero Vida V1,2025-07-30,1.27,1.1,96.04,False,Tyre,Tyre Wear,True,True,False,0,6,20,0.3,Weekday,TECH_04,3,2,2.43,0.94,2.28,0.1,2.38,0.3,0.0,0.3,1237,1215,True,False,0,2452,1.5,False,0,0
EV00014,1,2020-04-18,2020-08-12,Ather 450X,2020-01-29,0.54,0.32,99.01,False,Tyre,Tyre Wear,True,True,False,0,5,20,0.25,Weekday,TECH_06,4,2,2.26,0.91,2.06,0.12,2.18,0.27,0.0,0.27,1549,1130,True,False,200,2879,1.5,False,0,0
EV00014,2,2020-04-18,2020-12-28,Ather 450X,2020-01-29,0.91,0.7,97.83,False,General Service,Routine Maintenance,False,False,False,0,5,20,0.25,Weekday,TECH_08,6,1,0.91,0.88,0.8,0.03,0.83,0.1,0.0,0.1,0,455,True,False,0,455,1.0,False,0,0
EV00014,3,2020-04-18,2022-02-04,Ather 450X,2020-01-29,2.02,1.8,94.4,False,Brake,Brake Adjustment,False,False,False,0,12,20,0.6,Weekday,TECH_01,1,1,0.87,1.0,0.87,0.09,0.96,0.12,1.0,1.12,0,435,True,False,200,635,1.0,True,0,0
EV00014,4,2020-04-18,2022-07-08,Ather 450X,2020-01-29,2.44,2.22,93.08,True,General Service,Periodic Inspection,True,True,False,0,6,20,0.3,Weekday,TECH_02,2,1,0.97,0.97,0.94,0.01,0.95,0.12,0.0,0.12,140,485,True,False,100,725,1.0,False,0,0
EV00014,5,2020-04-18,2023-07-03,Ather 450X,2020-01-29,3.43,0.99,93.19,False,Suspension,Suspension Bush Wear,True,True,False,0,13,20,0.65,Weekday,TECH_02,2,2,2.17,0.97,2.1,1.17,3.27,0.41,0.5,0.91,1408,1085,False,False,0,2493,1.5,False,0,0
EV00014,6,2020-04-18,2023-11-06,Ather 450X,2020-01-29,3.77,1.33,90.81,False,Suspension,Shock Absorber Wear,True,True,False,0,6,20,0.3,Weekday,TECH_07,5,2,2.43,0.88,2.14,0.29,2.43,0.3,0.0,0.3,1531,1215,False,False,200,2946,1.5,False,0,0
EV00014,7,2020-04-18,2024-04-10,Ather 450X,2020-01-29,4.2,1.76,87.86,True,General Service,Cleaning and Lubrication,True,True,False,0,15,20,0.75,Weekday,TECH_04,3,1,1.45,0.94,1.36,1.49,2.85,0.36,0.25,0.61,140,725,False,False,0,865,1.0,False,0,0
EV00014,8,2020-04-18,2025-01-07,Ather 450X,2020-01-29,4.94,0.74,94.8,False,Battery,Battery Degradation,False,False,False,0,15,20,0.75,Weekday,TECH_06,4,3,4.5,0.91,4.1,1.26,5.36,0.67,0.0,0.67,0,2250,True,True,0,2250,2.5,False,0,0
EV00015,1,2023-09-26,2024-04-17,TVS iQube,2023-07-09,0.77,0.56,97.67,False,Electrical,Sensor Failure,True,True,False,0,8,20,0.4,Weekday,TECH_06,4,3,5.78,0.91,5.26,0.12,5.38,0.67,0.0,0.67,2486,2890,True,True,200,5576,2.5,False,0,0
EV00015,2,2023-09-26,2024-09-24,TVS iQube,2023-07-09,1.21,1.0,95.83,False,Motor,Motor Bearing Issue,True,False,True,8,11,20,0.55,Weekday,TECH_08,6,3,5.2,0.88,4.58,0.35,4.93,0.62,0.25,8.87,2578,2600,True,True,200,5378,10.5,False,8,0
EV00015,3,2023-09-26,2025-03-24,TVS iQube,2023-07-09,1.71,1.49,93.76,False,Brake,Brake Pad Wear,False,False,False,0,11,20,0.55,Weekday,TECH_04,3,2,2.96,0.94,2.78,0.01,2.79,0.35,0.0,0.35,0,1480,True,False,200,1680,1.5,False,0,0
EV00017,1,2026-01-11,2026-04-12,Ola S1 Pro,2025-11-21,0.39,0.25,98.9,False,Electrical,Sensor Failure,True,True,False,0,21,20,1.05,Weekend,TECH_07,5,3,5.15,0.88,4.53,5.96,10.49,1.31,1.5,2.81,1476,2575,True,True,100,4151,2.5,True,0,0
EV00018,1,2023-12-04,2024-05-29,TVS iQube,2023-09-12,0.71,0.48,97.14,False,Tyre,Low Tyre Pressure,False,False,False,0,15,20,0.75,Weekday,TECH_01,1,1,0.66,1.0,0.66,1.11,1.77,0.22,0.0,0.22,0,330,True,False,100,430,1.0,False,0,0
EV00018,2,2023-12-04,2024-11-12,TVS iQube,2023-09-12,1.17,0.94,94.44,False,General Service,Cleaning and Lubrication,False,False,False,0,12,20,0.6,Weekday,TECH_06,4,1,1.37,0.91,1.25,0.06,1.31,0.16,0.0,0.16,0,685,True,False,100,785,1.0,False,0,0
EV00018,3,2023-12-04,2025-03-23,TVS iQube,2023-09-12,1.53,1.3,92.33,False,General Service,Cleaning and Lubrication,False,False,False,0,14,20,0.7,Weekend,TECH_02,2,1,1.18,0.97,1.14,1.0,2.14,0.27,0.25,0.52,0,590,True,False,300,890,1.0,False,0,0
EV00018,4,2023-12-04,2026-02-16,TVS iQube,2023-09-12,2.43,2.2,87.0,False,General Service,Periodic Inspection,False,False,False,0,5,20,0.25,Weekday,TECH_07,5,1,1.03,0.88,0.91,0.47,1.38,0.17,0.0,0.17,0,515,True,False,300,815,1.0,False,0,0
EV00019,1,2026-07-24,2026-10-22,Ola S1 Pro,2026-05-30,0.4,0.25,98.32,False,General Service,Periodic Inspection,False,False,False,0,16,20,0.8,Weekday,TECH_07,5,1,1.33,0.88,1.17,1.35,2.52,0.32,0.0,0.32,0,665,True,False,0,665,1.0,False,0,0
EV00020,1,2023-03-14,2023-09-22,Ola S1 Pro,2023-01-13,0.69,0.53,96.45,False,General Service,Routine Maintenance,True,True,False,0,8,20,0.4,Weekday,TECH_01,1,1,1.48,1.0,1.48,0.15,1.63,0.2,0.0,0.2,195,740,True,False,500,1435,1.0,False,0,0
EV00020,2,2023-03-14,2024-11-04,Ola S1 Pro,2023-01-13,1.81,1.65,88.88,False,Electrical,Switch Failure,True,False,True,4,20,20,1.0,Weekday,TECH_02,2,2,2.32,0.97,2.25,2.09,4.34,0.54,0.5,5.04,566,1160,True,True,300,2026,5.5,False,4,0
EV00020,3,2023-03-14,2025-10-10,Ola S1 Pro,2023-01-13,2.74,2.58,82.58,False,Electrical,Lighting Issue,True,True,False,0,7,20,0.35,Weekday,TECH_04,3,1,0.85,0.94,0.8,0.43,1.23,0.15,0.0,0.15,895,425,True,True,200,1520,1.0,False,0,0
EV00021,1,2025-02-28,2025-09-17,TVS iQube,2024-12-31,0.71,0.55,98.34,False,Motor,Motor Bearing Issue,True,True,False,0,15,20,0.75,Weekday,TECH_03,2,3,6.14,0.97,5.96,1.4,7.36,0.92,0.25,1.17,3404,3070,True,True,0,6474,2.5,False,0,0
EV00021,2,2025-02-28,2026-07-20,TVS iQube,2024-12-31,1.55,1.39,95.83,False,Brake,Brake Adjustment,True,True,False,0,8,20,0.4,Weekday,TECH_06,4,1,0.95,0.91,0.86,0.46,1.32,0.16,0.0,0.16,152,475,True,False,100,727,1.0,False,0,0
EV00022,1,2024-07-16,2024-12-09,TVS iQube,2024-06-05,0.51,0.4,97.51,False,Suspension,Front Fork Issue,False,False,False,0,10,20,0.5,Weekday,TECH_08,6,3,3.8,0.88,3.34,0.47,3.81,0.48,0.0,0.48,0,1900,True,True,300,2200,2.5,False,0,0
EV00022,2,2024-07-16,2025-04-29,TVS iQube,2024-06-05,0.9,0.79,95.1,False,Tyre,Puncture,False,False,False,0,20,20,1.0,Weekday,TECH_06,4,1,0.85,0.91,0.77,2.25,3.02,0.38,0.0,0.38,0,425,True,False,0,425,1.0,False,0,0
EV00022,3,2024-07-16,2025-11-02,TVS iQube,2024-06-05,1.41,1.3,91.91,False,Brake,Brake Disc Issue,True,True,False,0,12,20,0.6,Weekend,TECH_02,2,2,3.12,0.97,3.03,0.43,3.46,0.43,0.25,0.68,2132,1560,True,True,200,3892,1.5,False,0,0
EV00023,1,2023-06-08,2024-01-19,Bajaj Chetak,2023-03-21,0.83,0.62,98.13,False,Tyre,Puncture,False,False,False,0,17,20,0.85,Weekday,TECH_05,3,1,1.21,0.94,1.14,2.02,3.16,0.4,0.5,0.9,0,605,True,False,0,605,1.0,False,0,0
EV00023,2,2023-06-08,2024-07-21,Bajaj Chetak,2023-03-21,1.34,1.12,96.6,False,Electrical,Switch Failure,True,True,False,0,12,20,0.6,Weekend,TECH_08,6,2,3.23,0.88,2.84,0.42,3.26,0.41,0.0,0.41,335,1615,True,True,100,2050,1.5,False,0,0
EV00023,3,2023-06-08,2025-09-05,Bajaj Chetak,2023-03-21,2.46,2.25,93.19,False,General Service,Cleaning and Lubrication,False,False,False,0,17,20,0.85,Weekday,TECH_08,6,1,0.65,0.88,0.57,2.02,2.59,0.32,0.25,0.57,0,325,True,False,0,325,1.0,False,0,0
EV00025,1,2025-12-20,2026-05-14,TVS iQube,2025-09-30,0.62,0.4,97.41,False,Electrical,Wiring Issue,True,True,False,0,16,20,0.8,Weekday,TECH_01,1,2,1.99,1.0,1.99,1.11,3.1,0.39,0.0,0.39,537,995,True,True,500,2032,1.5,False,0,0
